ES,workingArea-getAll-fail,Búsqueda fallida de todas las Áreas de Trabajo,VEC-MINOR-ERROR
ES,workingArea-save-fail,Almacenamiento fallido del Área del Trabajo,VEC-MINOR-ERROR
ES,workingArea-update-fail,Actualización fallida del WorkingArea,VEC-MINOR-ERROR
EN,workingArea-delete-fail,Failed to delete WorkingArea,VEC-MINOR-ERROR
EN,workingArea-findByWorkingArea-fail,Failed to find WorkingArea by workingArea,VEC-MINOR-ERROR
EN,workingArea-find-fail,Failed to find WorkingArea,VEC-MINOR-ERROR
EN,workingArea-getAll-fail,Failed to get all WorkingArea,VEC-MINOR-ERROR
EN,workingArea-save-fail,Failed to save WorkingArea,VEC-MINOR-ERROR
EN,workingArea-update-fail,Failed to update WorkingArea,VEC-MINOR-ERROR
ES,bpu-delete-fail,Falló la eliminación del BPU,VEC-MINOR-ERROR
ES,bpu-findByBpu-fail,Búsqueda fallida de BPU por BPU,VEC-MINOR-ERROR
ES,bpu-find-fail,Búsqueda fallida de BPU,VEC-MINOR-ERROR
ES,bpu-getAll-fail,Búsqueda fallida de todos los BPU,VEC-MINOR-ERROR
ES,bpu-save-fail,Almacenamiento fallido de BPU,VEC-MINOR-ERROR
ES,bpu-update-fail,Actualización fallida de BPU,VEC-MINOR-ERROR
EN,bpu-delete-fail,Failed to delete BPU,VEC-MINOR-ERROR
EN,bpu-findByBpu-fail,Failed to find BPU by BPU,VEC-MINOR-ERROR
EN,bpu-find-fail,Failed to find BPU,VEC-MINOR-ERROR
EN,bpu-getAll-fail,Failed to get all BPU,VEC-MINOR-ERROR
EN,bpu-save-fail,Failed to save BPU,VEC-MINOR-ERROR
EN,bpu-update-fail,Failed to update BPU,VEC-MINOR-ERROR
ES,facility-delete-fail,Falló la eliminación del Facility,VEC-MINOR-ERROR
ES,facility-findByFacility-fail,Búsqueda fallida de Facility por facility,VEC-MINOR-ERROR
ES,facility-find-fail,Búsqueda fallida de Facility,VEC-MINOR-ERROR
ES,facility-getAll-fail,Búsqueda fallida de todos los Facility,VEC-MINOR-ERROR
ES,facility-save-fail,Almacenamiento fallido de Facility,VEC-MINOR-ERROR
ES,facility-update-fail,Actualización fallida de Facility,VEC-MINOR-ERROR
EN,facility-delete-fail,Failed to delete Facility,VEC-MINOR-ERROR
EN,facility-findByFacility-fail,Failed to find Facility by facility,VEC-MINOR-ERROR
EN,facility-find-fail,Failed to find Facility,VEC-MINOR-ERROR
EN,facility-getAll-fail,Failed to get all Facility,VEC-MINOR-ERROR
EN,facility-save-fail,Failed to save Facility,VEC-MINOR-ERROR
EN,facility-update-fail,Failed to update Facility,VEC-MINOR-ERROR
ES,obu-delete-fail,Falló la eliminación del Departamento,VEC-MINOR-ERROR
ES,obu-findByObu-fail,Búsqueda fallida del Departamento por Departamento,VEC-MINOR-ERROR
ES,obu-find-fail,Búsqueda fallida de Obu,VEC-MINOR-ERROR
ES,obu-getAll-fail,Búsqueda fallida de todos los Departamentos,VEC-MINOR-ERROR
ES,obu-save-fail,Almacenamiento fallido del Departamento,VEC-MINOR-ERROR
ES,obu-update-fail,Actualización fallida del Departamento,VEC-MINOR-ERROR
EN,obu-delete-fail,Failed to delete Obu,VEC-MINOR-ERROR
EN,obu-findByObu-fail,Failed to find Obu by obu,VEC-MINOR-ERROR
EN,obu-find-fail,Failed to find Obu,VEC-MINOR-ERROR
EN,obu-getAll-fail,Failed to get all Obu,VEC-MINOR-ERROR
EN,obu-save-fail,Failed to save Obu,VEC-MINOR-ERROR
EN,obu-update-fail,Failed to update Obu,VEC-MINOR-ERROR
ES,externalProvider-delete-fail,Falló la eliminación del Proveedor Externo,VEC-MINOR-ERROR
ES,externalProvider-findByExternalProvider-fail,Búsqueda fallida de Proveedor Externo por Proveedor Externo,VEC-MINOR-ERROR
ES,externalProvider-find-fail,Búsqueda fallida del Proveedor Externo,VEC-MINOR-ERROR
ES,externalProvider-getAll-fail,Búsqueda fallida de todos los Proveedores Externos,VEC-MINOR-ERROR
ES,externalProvider-save-fail,Almacenamiento fallido del Proveedor Externo,VEC-MINOR-ERROR
ES,externalProvider-update-fail,Actualización fallida del Proveedor Externo,VEC-MINOR-ERROR
EN,externalProvider-delete-fail,Failed to delete ExternalProvider,VEC-MINOR-ERROR
EN,externalProvider-findByExternalProvider-fail,Failed to find ExternalProvider by externalProvider,VEC-MINOR-ERROR
EN,externalProvider-find-fail,Failed to find ExternalProvider,VEC-MINOR-ERROR
EN,externalProvider-getAll-fail,Failed to get all ExternalProvider,VEC-MINOR-ERROR
EN,externalProvider-save-fail,Failed to save ExternalProvider,VEC-MINOR-ERROR
EN,externalProvider-update-fail,Failed to update ExternalProvider,VEC-MINOR-ERROR
ES,materialCategory-delete-fail,Falló la eliminación del MaterialCategory,VEC-MINOR-ERROR
ES,materialCategory-findByMaterialCategory-fail,Búsqueda fallida de MaterialCategory por materialCategory,VEC-MINOR-ERROR
ES,materialCategory-find-fail,Búsqueda fallida de MaterialCategory,VEC-MINOR-ERROR
ES,materialCategory-getAll-fail,Búsqueda fallida de todos los MaterialCategory,VEC-MINOR-ERROR
ES,materialCategory-save-fail,Almacenamiento fallido de MaterialCategory,VEC-MINOR-ERROR
ES,materialCategory-update-fail,Actualización fallida de MaterialCategory,VEC-MINOR-ERROR
EN,materialCategory-delete-fail,Failed to delete MaterialCategory,VEC-MINOR-ERROR
EN,materialCategory-findByMaterialCategory-fail,Failed to find MaterialCategory by materialCategory,VEC-MINOR-ERROR
EN,materialCategory-find-fail,Failed to find MaterialCategory,VEC-MINOR-ERROR
EN,materialCategory-getAll-fail,Failed to get all MaterialCategory,VEC-MINOR-ERROR
EN,materialCategory-save-fail,Failed to save MaterialCategory,VEC-MINOR-ERROR
EN,materialCategory-update-fail,Failed to update MaterialCategory,VEC-MINOR-ERROR
ES,material-delete-fail,Falló la eliminación del Material,VEC-MINOR-ERROR
ES,material-findByMaterial-fail,Búsqueda fallida de Material por material,VEC-MINOR-ERROR
ES,material-find-fail,Búsqueda fallida de Material,VEC-MINOR-ERROR
ES,material-findByType-fail,Búsqueda fallida de Material por Tipo,VEC-MINOR-ERROR
ES,material-findByBrand-fail,Búsqueda fallida de Material por Brand,VEC-MINOR-ERROR
ES,material-getAll-fail,Búsqueda fallida de todos los Material,VEC-MINOR-ERROR
ES,material-save-fail,Almacenamiento fallido de Material,VEC-MINOR-ERROR
ES,material-update-fail,Actualización fallida de Material,VEC-MINOR-ERROR
EN,material-delete-fail,Failed to delete Material,VEC-MINOR-ERROR
EN,material-findByMaterial-fail,Failed to find Material by material,VEC-MINOR-ERROR
EN,material-find-fail,Failed to find Material,VEC-MINOR-ERROR
EN,material-findByType-fail,Failed to find Material by Type,VEC-MINOR-ERROR
EN,material-findByBrand-fail,Failed to find Material by Brand,VEC-MINOR-ERROR
EN,material-getAll-fail,Failed to get all Material,VEC-MINOR-ERROR
EN,material-save-fail,Failed to save Material,VEC-MINOR-ERROR
EN,material-update-fail,Failed to update Material,VEC-MINOR-ERROR
ES,brand-delete-fail,Falló la eliminación de la Marca,VEC-MINOR-ERROR
ES,brand-findByBrand-fail,Búsqueda fallida de Marca por Marca,VEC-MINOR-ERROR
ES,brand-find-fail,Búsqueda fallida de Marca,VEC-MINOR-ERROR
ES,brand-findByManufacturer-fail,Búsqueda fallida de Marca por Fabricante,VEC-MINOR-ERROR
ES,brand-getAll-fail,Búsqueda fallida de todas las Marcas,VEC-MINOR-ERROR
ES,brand-save-fail,Almacenamiento fallido de Marca,VEC-MINOR-ERROR
ES,brand-update-fail,Actualización fallida de Marca,VEC-MINOR-ERROR
EN,brand-delete-fail,Failed to delete Brand,VEC-MINOR-ERROR
EN,brand-findByBrand-fail,Failed to find Brand by brand,VEC-MINOR-ERROR
EN,brand-find-fail,Failed to find Brand,VEC-MINOR-ERROR
EN,brand-findByManufacturer-fail,Failed to find Brand by Manufacturer,VEC-MINOR-ERROR
EN,brand-getAll-fail,Failed to get all Brand,VEC-MINOR-ERROR
EN,brand-save-fail,Failed to save Brand,VEC-MINOR-ERROR
EN,brand-update-fail,Failed to update Brand,VEC-MINOR-ERROR
ES,buildingLocation-delete-fail,Falló la eliminación de la Ubicación,VEC-MINOR-ERROR
ES,buildingLocation-findByBuildingLocation-fail,Búsqueda fallida de Ubicación por Ubicación,VEC-MINOR-ERROR
ES,buildingLocation-find-fail,Búsqueda fallida de la Ubicación,VEC-MINOR-ERROR
ES,buildingLocation-getAll-fail,Búsqueda fallida de todas las ubicaciones,VEC-MINOR-ERROR
ES,buildingLocation-save-fail,Almacenamiento fallido de la Ubicación,VEC-MINOR-ERROR
ES,buildingLocation-update-fail,Actualización fallida de la Ubicación,VEC-MINOR-ERROR
EN,buildingLocation-delete-fail,Failed to delete BuildingLocation,VEC-MINOR-ERROR
EN,buildingLocation-findByBuildingLocation-fail,Failed to find BuildingLocation by buildingLocation,VEC-MINOR-ERROR
EN,buildingLocation-find-fail,Failed to find BuildingLocation,VEC-MINOR-ERROR
EN,buildingLocation-getAll-fail,Failed to get all BuildingLocation,VEC-MINOR-ERROR
EN,buildingLocation-save-fail,Failed to save BuildingLocation,VEC-MINOR-ERROR
EN,buildingLocation-update-fail,Failed to update BuildingLocation,VEC-MINOR-ERROR
ES,eiaComponent-delete-fail,Falló la eliminación del Componente de Equipo,VEC-MINOR-ERROR
ES,eiaComponent-findByParentEia-fail,Búsqueda fallida de Componente de Equipo por Equipo Padre,VEC-MINOR-ERROR
ES,eiaComponent-find-fail,Búsqueda fallida del Componente de Equipo,VEC-MINOR-ERROR
ES,eiaComponent-getAll-fail,Búsqueda fallida de todos los Componentes del Equipo,VEC-MINOR-ERROR
ES,eiaComponent-save-fail,Almacenamiento fallido del Componente del Equipo,VEC-MINOR-ERROR
ES,eiaComponent-update-fail,Actualización fallida del Componente del Equipo,VEC-MINOR-ERROR
EN,eiaComponent-delete-fail,Failed to delete EiaComponent,VEC-MINOR-ERROR
EN,eiaComponent-findByParentEia-fail,Failed to find EiaComponent by parentEia,VEC-MINOR-ERROR
EN,eiaComponent-find-fail,Failed to find EiaComponent,VEC-MINOR-ERROR
EN,eiaComponent-getAll-fail,Failed to get all EiaComponent,VEC-MINOR-ERROR
EN,eiaComponent-save-fail,Failed to save EiaComponent,VEC-MINOR-ERROR
EN,eiaComponent-update-fail,Failed to update EiaComponent,VEC-MINOR-ERROR
ES,eiaPicture-delete-fail,Falló la eliminación del EiaPicture,VEC-MINOR-ERROR
ES,eiaPicture-findByEia-fail,Búsqueda fallida de EiaPicture por eia,VEC-MINOR-ERROR
ES,eiaPicture-find-fail,Búsqueda fallida de EiaPicture,VEC-MINOR-ERROR
ES,eiaPicture-getAll-fail,Búsqueda fallida de todos los EiaPicture,VEC-MINOR-ERROR
ES,eiaPicture-save-fail,Almacenamiento fallido de EiaPicture,VEC-MINOR-ERROR
ES,eiaPicture-update-fail,Actualización fallida de EiaPicture,VEC-MINOR-ERROR
EN,eiaPicture-delete-fail,Failed to delete EiaPicture,VEC-MINOR-ERROR
EN,eiaPicture-findByEia-fail,Failed to find EiaPicture by eia,VEC-MINOR-ERROR
EN,eiaPicture-find-fail,Failed to find EiaPicture,VEC-MINOR-ERROR
EN,eiaPicture-getAll-fail,Failed to get all EiaPicture,VEC-MINOR-ERROR
EN,eiaPicture-save-fail,Failed to save EiaPicture,VEC-MINOR-ERROR
EN,eiaPicture-update-fail,Failed to update EiaPicture,VEC-MINOR-ERROR
ES,eia-delete-fail,Falló la eliminación del Equipo,VEC-MINOR-ERROR
ES,eia-delete-success,El equipo ha sido eliminado exitosamente,VEM-RESULTS
ES,eia-findByEia-fail,Búsqueda fallida de Equipo por Equipo,VEC-MINOR-ERROR
ES,eia-findByEiaType-fail,Búsqueda fallida de Equipo por Tipo de Equipo,VEC-MINOR-ERROR
ES,eia-find-fail,Búsqueda fallida del Equipo,VEC-MINOR-ERROR
ES,eia-getAll-fail,Búsqueda fallida de todos los Equipos,VEC-MINOR-ERROR
ES,eia-save-fail,Almacenamiento fallido del Equipo,VEC-MINOR-ERROR
ES,eia-update-fail,Actualización fallida del Equipo,VEC-MINOR-ERROR
EN,eia-delete-fail,Failed to delete Eia,VEC-MINOR-ERROR
EN,eia-findByEia-fail,Failed to find Eia by eia,VEC-MINOR-ERROR
EN,eia-findByEiaType-fail,Failed to find Eia by eiaType,VEC-MINOR-ERROR
EN,eia-find-fail,Failed to find Eia,VEC-MINOR-ERROR
EN,eia-getAll-fail,Failed to get all Eia,VEC-MINOR-ERROR
EN,eia-save-fail,Failed to save Eia,VEC-MINOR-ERROR
EN,eia-update-fail,Failed to update Eia,VEC-MINOR-ERROR
ES,eiaTypeComponent-delete-fail,Falló la eliminación del Componente del Tipo de Equipo,VEC-MINOR-ERROR
ES,eiaTypeComponent-findByParentEiaType-fail,Búsqueda fallida de Componente del Tipo de Equipo por Tipo de Equipo Padre,VEC-MINOR-ERROR
ES,eiaTypeComponent-find-fail,Búsqueda fallida del Componente del Tipo de Equipo,VEC-MINOR-ERROR
ES,eiaTypeComponent-getAll-fail,Búsqueda fallida de todos los Componentes del Tipo de Equipo,VEC-MINOR-ERROR
ES,eiaTypeComponent-save-fail,Almacenamiento fallido del Componente del Tipo de Equipo,VEC-MINOR-ERROR
ES,eiaTypeComponent-update-fail,Actualización fallida del Componente del Tipo de Equipo,VEC-MINOR-ERROR
EN,eiaTypeComponent-delete-fail,Failed to delete EiaTypeComponent,VEC-MINOR-ERROR
EN,eiaTypeComponent-findByParentEiaType-fail,Failed to find EiaTypeComponent by parentEiaType,VEC-MINOR-ERROR
EN,eiaTypeComponent-find-fail,Failed to find EiaTypeComponent,VEC-MINOR-ERROR
EN,eiaTypeComponent-getAll-fail,Failed to get all EiaTypeComponent,VEC-MINOR-ERROR
EN,eiaTypeComponent-save-fail,Failed to save EiaTypeComponent,VEC-MINOR-ERROR
EN,eiaTypeComponent-update-fail,Failed to update EiaTypeComponent,VEC-MINOR-ERROR
ES,eiaTypeMaintenancePlan-delete-fail,Falló la eliminación del Plan de Mantenimiento de Tipo de Equipo,VEC-MINOR-ERROR
ES,requiredResources-delete-fail,Falló la eliminación del Recurso Requerido,VEC-MINOR-ERROR
ES,eiaTypeMaintenancePlan-findByEiaType-fail,Búsqueda fallida de Plan de Mantenimiento de Tipo de Equipo por Tipo de Equipo,VEC-MINOR-ERROR
ES,requiredResources-findByServiceAndResource-fail,Búsqueda fallida de Recursos Requeridos por serviceAndResource,VEC-MINOR-ERROR
ES,requiredResources-findByActivity-fail,Búsqueda fallida de Recursos Requeridos por Actividad,VEC-MINOR-ERROR
ES,requiredResources-update-fail,Actualización fallida de RequiredResources,VEC-MINOR-ERROR
ES,eiaTypeMaintenancePlan-findByMaintenancePlan-fail,Búsqueda fallida de Plan de Mantenimiento de Tipo de Equipo por Plan de Mantenimiento,VEC-MINOR-ERROR
ES,eiaTypeMaintenancePlan-save-fail,Almacenamiento fallido de Plan de Mantenimiento de Tipo de Equipo,VEC-MINOR-ERROR
